ASSERTION	AAEDAAEBAQAAAAAAAHCnQA==
ASSERTION	AAEDAAECAQAAAAAAAECPQA==
ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	jp.rafaelzig.rafka.pubsub.Subscriber	subscriber	1609142004200	 	3.2.1
USER	getAndAck	106	END	1609142024263	1609142024276
USER	getAndAck	107	START	1609142024303	1609142024303
REQUEST	107		/message/ack	1609142024304	1609142024317	OK	 
USER	getAndAck	107	END	1609142024303	1609142024317
USER	getAndAck	108	START	1609142024344	1609142024344
REQUEST	108		/message/get	1609142024344	1609142024349	OK	 
USER	getAndAck	108	END	1609142024344	1609142024349
USER	getAndAck	109	START	1609142024373	1609142024373
REQUEST	109		/message/ack	1609142024374	1609142024393	OK	 
USER	getAndAck	109	END	1609142024373	1609142024394
USER	getAndAck	110	START	1609142024414	1609142024414
REQUEST	110		/message/get	1609142024414	1609142024418	OK	 
USER	getAndAck	110	END	1609142024414	1609142024418
USER	getAndAck	111	START	1609142024454	1609142024454
REQUEST	111		/message/ack	1609142024454	1609142024459	OK	 
USER	getAndAck	111	END	1609142024454	1609142024459
USER	getAndAck	112	START	1609142024494	1609142024494
REQUEST	112		/message/get	1609142024494	1609142024500	OK	 
USER	getAndAck	112	END	1609142024494	1609142024501
USER	getAndAck	113	START	1609142024533	1609142024533
REQUEST	113		/message/ack	1609142024534	1609142024551	OK	 
USER	getAndAck	113	END	1609142024533	1609142024551
USER	getAndAck	114	START	1609142024573	1609142024573
REQUEST	114		/message/get	1609142024574	1609142024578	OK	 
USER	getAndAck	114	END	1609142024573	1609142024579
USER	getAndAck	115	START	1609142024604	1609142024604
REQUEST	115		/message/ack	1609142024604	1609142024614	OK	 
USER	getAndAck	115	END	1609142024604	1609142024615
USER	getAndAck	116	START	1609142024644	1609142024644
REQUEST	116		/message/get	1609142024644	1609142024650	OK	 
USER	getAndAck	116	END	1609142024644	1609142024651
USER	getAndAck	117	START	1609142024684	1609142024684
REQUEST	117		/message/ack	1609142024684	1609142024688	OK	 
USER	getAndAck	117	END	1609142024684	1609142024689
USER	getAndAck	118	START	1609142024713	1609142024713
REQUEST	118		/message/get	1609142024714	1609142024725	OK	 
USER	getAndAck	118	END	1609142024713	1609142024726
USER	getAndAck	119	START	1609142024754	1609142024754
REQUEST	119		/message/ack	1609142024754	1609142024760	OK	 
USER	getAndAck	119	END	1609142024754	1609142024760
USER	getAndAck	120	START	1609142024783	1609142024783
REQUEST	120		/message/get	1609142024784	1609142024795	OK	 
USER	getAndAck	120	END	1609142024783	1609142024795
USER	getAndAck	121	START	1609142024823	1609142024823
REQUEST	121		/message/ack	1609142024824	1609142024829	OK	 
USER	getAndAck	121	END	1609142024823	1609142024830
USER	getAndAck	122	START	1609142024854	1609142024854
REQUEST	122		/message/get	1609142024854	1609142024864	OK	 
USER	getAndAck	122	END	1609142024854	1609142024865
USER	getAndAck	123	START	1609142024893	1609142024893
REQUEST	123		/message/ack	1609142024894	1609142024906	OK	 
USER	getAndAck	123	END	1609142024893	1609142024906
USER	getAndAck	124	START	1609142024923	1609142024923
REQUEST	124		/message/get	1609142024924	1609142024931	OK	 
USER	getAndAck	124	END	1609142024923	1609142024932
USER	getAndAck	125	START	1609142024953	1609142024953
REQUEST	125		/message/ack	1609142024954	1609142024962	OK	 
USER	getAndAck	125	END	1609142024953	1609142024963
USER	getAndAck	126	START	1609142024993	1609142024993
REQUEST	126		/message/get	1609142024994	1609142025006	OK	 
USER	getAndAck	126	END	1609142024993	1609142025006
USER	getAndAck	127	START	1609142025023	1609142025023
