ASSERTION	AAEDAAEBAQAAAAAAAHCnQA==
ASSERTION	AAEDAAECAQAAAAAAAECPQA==
ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	jp.rafaelzig.rafka.pubsub.Publisher	publisher	1609142004263	 	3.2.1
REQUEST	134		/message/publish	1609142020321	1609142020330	OK	 
USER	publish	134	END	1609142020321	1609142020330
USER	publish	135	START	1609142020350	1609142020350
REQUEST	135		/message/publish	1609142020351	1609142020361	OK	 
USER	publish	135	END	1609142020350	1609142020361
USER	publish	136	START	1609142020391	1609142020391
REQUEST	136		/message/publish	1609142020392	1609142020401	OK	 
USER	publish	136	END	1609142020391	1609142020402
USER	publish	137	START	1609142020420	1609142020420
REQUEST	137		/message/publish	1609142020421	1609142020440	OK	 
USER	publish	137	END	1609142020420	1609142020441
USER	publish	138	START	1609142020461	1609142020461
REQUEST	138		/message/publish	1609142020462	1609142020468	OK	 
USER	publish	138	END	1609142020461	1609142020469
USER	publish	139	START	1609142020490	1609142020490
REQUEST	139		/message/publish	1609142020491	1609142020512	OK	 
USER	publish	139	END	1609142020490	1609142020512
USER	publish	140	START	1609142020530	1609142020530
REQUEST	140		/message/publish	1609142020531	1609142020540	OK	 
USER	publish	140	END	1609142020530	1609142020541
USER	publish	141	START	1609142020561	1609142020561
REQUEST	141		/message/publish	1609142020562	1609142020568	OK	 
USER	publish	141	END	1609142020561	1609142020569
USER	publish	142	START	1609142020591	1609142020591
REQUEST	142		/message/publish	1609142020591	1609142020597	OK	 
USER	publish	142	END	1609142020591	1609142020598
USER	publish	143	START	1609142020630	1609142020630
REQUEST	143		/message/publish	1609142020631	1609142020642	OK	 
USER	publish	143	END	1609142020630	1609142020642
USER	publish	144	START	1609142020660	1609142020660
REQUEST	144		/message/publish	1609142020661	1609142020669	OK	 
USER	publish	144	END	1609142020660	1609142020670
USER	publish	145	START	1609142020700	1609142020700
REQUEST	145		/message/publish	1609142020701	1609142020717	OK	 
USER	publish	145	END	1609142020700	1609142020717
USER	publish	146	START	1609142020731	1609142020731
REQUEST	146		/message/publish	1609142020732	1609142020742	OK	 
USER	publish	146	END	1609142020731	1609142020743
USER	publish	147	START	1609142020760	1609142020760
REQUEST	147		/message/publish	1609142020761	1609142020768	OK	 
USER	publish	147	END	1609142020760	1609142020768
USER	publish	148	START	1609142020790	1609142020790
REQUEST	148		/message/publish	1609142020791	1609142020797	OK	 
USER	publish	148	END	1609142020790	1609142020797
USER	publish	149	START	1609142020821	1609142020821
REQUEST	149		/message/publish	1609142020822	1609142020827	OK	 
USER	publish	149	END	1609142020821	1609142020828
USER	publish	150	START	1609142020851	1609142020851
REQUEST	150		/message/publish	1609142020852	1609142020860	OK	 
USER	publish	150	END	1609142020851	1609142020861
USER	publish	151	START	1609142020890	1609142020890
REQUEST	151		/message/publish	1609142020891	1609142020903	OK	 
USER	publish	151	END	1609142020890	1609142020903
USER	publish	152	START	1609142020920	1609142020920
REQUEST	152		/message/publish	1609142020921	1609142020927	OK	 
USER	publish	152	END	1609142020920	1609142020927
USER	publish	153	START	1609142020951	1609142020951
REQUEST	153		/message/publish	1609142020951	1609142020957	OK	 
USER	publish	153	END	1609142020951	1609142020957
USER	publish	154	START	1609142020981	1609142020981
REQUEST	154		/message/publish	1609142020981	1609142020986	OK	 
USER	publish	154	END	1609142020981	1609142020987
USER	publish	155	START	1609142021010	1609142021010
REQUEST	155		/message/publish	1609142021011	1609142021017	OK	 
USER	publish	155	END	1609142021010	1609142021018
USER	publish	156	START	1609142021041	1609142021041
REQUEST	156		/message/publish	1609142021041	1609142021048	OK	 
USER	publish	156	END	1609142021041	1609142021049
USER	publish	157	START	1609142021070	1609142021070
